date,Total Order Quantity,Total Order Amount (INR),Avg. Amount per Quantity,year,month,day
2022-03-31,156.0,101684.0,651.8205128205128,2022.0,3.0,31.0
2022-04-01,1319.0,865478.9,656.162926459439,2022.0,4.0,1.0
2022-04-02,1408.0,913101.3,648.5094460227273,2022.0,4.0,2.0
2022-04-03,1544.0,1011763.2,655.2870466321243,2022.0,4.0,3.0
2022-04-04,1331.0,882059.3,662.7042073628851,2022.0,4.0,4.0
2022-04-05,1486.0,950543.8,639.6660834454913,2022.0,4.0,5.0
2022-04-06,1439.0,886985.5,616.3902015288395,2022.0,4.0,6.0
2022-04-07,1377.0,909899.8,660.7841684822077,2022.0,4.0,7.0
2022-04-08,1519.0,1018617.9,670.5845292955892,2022.0,4.0,8.0
2022-04-09,1471.0,972076.8,660.827192386132,2022.0,4.0,9.0
2022-04-10,1619.0,1075234.5,664.1349598517603,2022.0,4.0,10.0
2022-04-11,1396.0,949559.5,680.2002148997135,2022.0,4.0,11.0
2022-04-12,1301.0,887194.5,681.9327440430438,2022.0,4.0,12.0
2022-04-13,1479.0,977017.8,660.593509127789,2022.0,4.0,13.0
2022-04-14,1695.0,1113487.9,656.9250147492625,2022.0,4.0,14.0
2022-04-15,1620.0,1024542.6,632.4337037037037,2022.0,4.0,15.0
2022-04-16,1538.0,1010057.1,656.7341352405722,2022.0,4.0,16.0
2022-04-17,1445.0,940844.3,651.103321799308,2022.0,4.0,17.0
2022-04-18,1397.0,885404.0,633.7895490336435,2022.0,4.0,18.0
2022-04-19,1495.0,960055.7,642.1777257525083,2022.0,4.0,19.0
2022-04-20,1696.0,1091926.4,643.8245283018867,2022.0,4.0,20.0
2022-04-21,1553.0,971966.8,625.86400515132,2022.0,4.0,21.0
2022-04-22,1499.0,978034.1,652.4577051367578,2022.0,4.0,22.0
2022-04-23,1665.0,1093536.6,656.7787387387388,2022.0,4.0,23.0
2022-04-24,1628.0,1082484.3,664.9166461916462,2022.0,4.0,24.0
2022-04-25,1472.0,977765.7,664.2430027173913,2022.0,4.0,25.0
2022-04-26,1392.0,910751.0,654.2751436781609,2022.0,4.0,26.0
2022-04-27,1294.0,850677.6,657.4015455950541,2022.0,4.0,27.0
2022-04-28,1309.0,838362.3,640.4601222307105,2022.0,4.0,28.0
2022-04-29,1310.0,839655.0,640.9580152671756,2022.0,4.0,29.0
2022-04-30,1509.0,969634.5,642.5675944333996,2022.0,4.0,30.0
2022-05-01,1661.0,1079957.4,650.1850692354003,2022.0,5.0,1.0
2022-05-02,1889.0,1172327.4,620.6074113287453,2022.0,5.0,2.0
2022-05-03,1863.0,1190672.8,639.115834675255,2022.0,5.0,3.0
2022-05-04,1811.0,1209364.1,667.7880176697957,2022.0,5.0,4.0
2022-05-05,1325.0,894705.0,675.2490566037736,2022.0,5.0,5.0
2022-05-06,1283.0,909530.1,708.9088854247857,2022.0,5.0,6.0
2022-05-07,1323.0,911693.9,689.1110355253213,2022.0,5.0,7.0
2022-05-08,1322.0,902173.4,682.430711043873,2022.0,5.0,8.0
2022-05-09,1191.0,810946.1,680.8951301427372,2022.0,5.0,9.0
2022-05-10,1055.0,723617.0,685.8928909952607,2022.0,5.0,10.0
2022-05-11,1038.0,740395.7,713.290655105973,2022.0,5.0,11.0
2022-05-12,996.0,693446.7,696.2316265060241,2022.0,5.0,12.0
2022-05-13,990.0,736609.6,744.050101010101,2022.0,5.0,13.0
2022-05-14,1067.0,768172.4,719.9366447985005,2022.0,5.0,14.0
2022-05-15,1244.0,894646.3,719.1690514469453,2022.0,5.0,15.0
2022-05-16,1065.0,763147.0,716.5699530516432,2022.0,5.0,16.0
2022-05-17,1067.0,764918.9,716.8874414245548,2022.0,5.0,17.0
2022-05-18,1100.0,797543.4,725.0394545454545,2022.0,5.0,18.0
2022-05-19,1091.0,778026.9,713.1318973418882,2022.0,5.0,19.0
2022-05-20,986.0,704908.2,714.9170385395537,2022.0,5.0,20.0
2022-05-21,983.0,697790.8,709.8583926754833,2022.0,5.0,21.0
2022-05-22,1110.0,777552.7,700.4979279279279,2022.0,5.0,22.0
2022-05-23,1074.0,755931.0,703.8463687150838,2022.0,5.0,23.0
2022-05-24,1116.0,759458.3,680.5181899641577,2022.0,5.0,24.0
2022-05-25,1178.0,819478.7,695.6525466893039,2022.0,5.0,25.0
2022-05-26,1119.0,767619.9,685.987399463807,2022.0,5.0,26.0
2022-05-27,1185.0,813334.7,686.3583966244726,2022.0,5.0,27.0
2022-05-28,1252.0,850986.6,679.7017571884984,2022.0,5.0,28.0
2022-05-29,1197.0,816996.3,682.5365914786968,2022.0,5.0,29.0
2022-05-30,1154.0,817464.1,708.3744367417678,2022.0,5.0,30.0
2022-05-31,1276.0,903069.2,707.7344827586206,2022.0,5.0,31.0
2022-06-01,1375.0,935430.1,680.3128,2022.0,6.0,1.0
2022-06-02,1279.0,896673.1,701.0735731039874,2022.0,6.0,2.0
2022-06-03,1117.0,738190.4,660.8687555953447,2022.0,6.0,3.0
2022-06-04,1353.0,892476.2,659.6276422764228,2022.0,6.0,4.0
2022-06-05,1452.0,989092.9,681.1934573002756,2022.0,6.0,5.0
2022-06-06,1413.0,955276.3,676.062491153574,2022.0,6.0,6.0
2022-06-07,1409.0,965557.6,685.2786373314407,2022.0,6.0,7.0
2022-06-08,1430.0,965472.3,675.1554545454546,2022.0,6.0,8.0
2022-06-09,1405.0,959183.7,682.693024911032,2022.0,6.0,9.0
2022-06-10,1163.0,798797.2,686.8419604471195,2022.0,6.0,10.0
2022-06-11,1267.0,863796.4,681.7651144435675,2022.0,6.0,11.0
2022-06-12,1427.0,955246.8,669.4091100210231,2022.0,6.0,12.0
2022-06-13,1257.0,877675.3,698.2301511535402,2022.0,6.0,13.0
2022-06-14,1316.0,899234.2,683.3086626139817,2022.0,6.0,14.0
2022-06-15,1124.0,785089.4,698.4781138790036,2022.0,6.0,15.0
2022-06-16,1155.0,778813.6,674.2974891774892,2022.0,6.0,16.0
2022-06-17,1050.0,747349.3,711.7612380952381,2022.0,6.0,17.0
2022-06-18,1069.0,741802.4,693.9217960710945,2022.0,6.0,18.0
2022-06-19,1055.0,729841.1,691.7925118483412,2022.0,6.0,19.0
2022-06-20,1104.0,756764.9,685.4754528985508,2022.0,6.0,20.0
2022-06-21,1167.0,804470.7,689.3493573264781,2022.0,6.0,21.0
2022-06-22,1173.0,778915.4,664.0369991474851,2022.0,6.0,22.0
2022-06-23,965.0,654729.6,678.4762694300518,2022.0,6.0,23.0
2022-06-24,935.0,630349.4,674.1704812834225,2022.0,6.0,24.0
2022-06-25,940.0,654234.6,695.9942553191489,2022.0,6.0,25.0
2022-06-26,1122.0,773610.3,689.4922459893048,2022.0,6.0,26.0
2022-06-27,1023.0,714125.0,698.069403714565,2022.0,6.0,27.0
2022-06-28,1104.0,772085.7,699.3529891304347,2022.0,6.0,28.0
2022-06-29,627.0,411530.7,656.3488038277512,2022.0,6.0,29.0
2022-06-30,,516521.5820000006,,,,
2022-07-01,,584166.4750000009,,,,
2022-07-02,,584166.4750000009,,,,
2022-07-03,,584166.4750000009,,,,
2022-07-04,,584166.4750000009,,,,
2022-07-05,,584166.4750000009,,,,
2022-07-06,,584166.4750000009,,,,
2022-07-07,,584166.4750000009,,,,
2022-07-08,,584166.4750000009,,,,
2022-07-09,,584166.4750000009,,,,
2022-07-10,,584166.4750000009,,,,
2022-07-11,,584166.4750000009,,,,
2022-07-12,,584166.4750000009,,,,
2022-07-13,,584166.4750000009,,,,
2022-07-14,,584166.4750000009,,,,
2022-07-15,,584166.4750000009,,,,
2022-07-16,,584166.4750000009,,,,
2022-07-17,,584166.4750000009,,,,
2022-07-18,,584166.4750000009,,,,
2022-07-19,,584166.4750000009,,,,
2022-07-20,,584166.4750000009,,,,
2022-07-21,,584166.4750000009,,,,
2022-07-22,,584166.4750000009,,,,
2022-07-23,,584166.4750000009,,,,
2022-07-24,,584166.4750000009,,,,
2022-07-25,,584166.4750000009,,,,
2022-07-26,,584166.4750000009,,,,
2022-07-27,,584166.4750000009,,,,
2022-07-28,,584166.4750000009,,,,
2022-07-29,,584166.4750000009,,,,
2022-07-30,,584166.4750000009,,,,
2022-07-31,,584166.4750000009,,,,
2022-08-01,,584166.4750000009,,,,
2022-08-02,,584166.4750000009,,,,
2022-08-03,,584166.4750000009,,,,
2022-08-04,,584166.4750000009,,,,
2022-08-05,,584166.4750000009,,,,
2022-08-06,,584166.4750000009,,,,
2022-08-07,,584166.4750000009,,,,
2022-08-08,,584166.4750000009,,,,
2022-08-09,,584166.4750000009,,,,
2022-08-10,,584166.4750000009,,,,
2022-08-11,,584166.4750000009,,,,
2022-08-12,,584166.4750000009,,,,
2022-08-13,,584166.4750000009,,,,
